id,title,type,institution,country,year,matched_variant,qid,wikidata_label,wikidata_description,wikidata_country,match_status
/773/https___catalonica_bnc_cat_catalonicahub_lod_oai_mdc_csuc_cat_cturistics____7349_ent0,Vincent van Gogh (1853-1890),IMAGE,Digital Memory of Catalonia,Spain,2011.0,Vincent van Gogh,,,,,not_found
/2021012/_D58C091103F4D9D5DF15A9BC9A202DCE,Street in Auvers-sur-Oise ; Village Street ; Road at Auvers,IMAGE,Finnish National Gallery,Finland,,"Gogh, Vincent van",Q2983474,Finnish National Gallery,organization of three museums that make up the largest art museum institution of Finland,Finland,matched
/180/10622_753D9215_1F4A_43F2_9C38_1A4703D448A4_cho,"Wever en weefstoel Origineel schilderij in Rijksmuseum Kröller-Müller, Otterlo",IMAGE,International Institute of Social History,Netherlands,1884.0,"Gogh, Vincent van",Q1667757,International Institute of Social History,historical research institute in Amsterdam,Netherlands,matched
/180/10622_955D1858_4D8D_45F4_9F3A_1B0FF56D1179_cho,"Wever en weefstoel Origineel schilderij in Rijksmuseum Kröller-Müller, Otterlo",IMAGE,International Institute of Social History,Netherlands,1884.0,"Gogh, Vincent van",Q1667757,International Institute of Social History,historical research institute in Amsterdam,Netherlands,matched
/180/10622_9639403C_3E02_4734_8E41_5D2E1E390F2D_cho,"Uit: Bro 284/4. De Spinster. Origineel schilderij in Stedelijk Museum, Amsterdam; inv.nr.: B 3630",IMAGE,International Institute of Social History,Netherlands,,"Gogh, Vincent van",Q1667757,International Institute of Social History,historical research institute in Amsterdam,Netherlands,matched
/180/10622_99C34C37_CF32_4998_AB85_EC91DA0E0785_cho,"De aardappeleters Origineel schilderij in Rijksmuseum Kröller-Müller, Otterlo",IMAGE,International Institute of Social History,Netherlands,,"Gogh, Vincent van",Q1667757,International Institute of Social History,historical research institute in Amsterdam,Netherlands,matched
/2021602/0680681509D30F3864A32CCE17A36A7C3F395F4D,Brieven aan zijn broeder. Deel 3,TEXT,Digital Library for Dutch Literature,Netherlands,1914.0,"Gogh, Vincent van",,,,,not_found
/2021602/49F6AA722113CEC52AF36FD548085DD223FE21F8,Brieven aan zijn broeder. Deel 1,TEXT,Digital Library for Dutch Literature,Netherlands,1914.0,"Gogh, Vincent van",,,,,not_found
/2021602/8DF27B4CF28C8254E2536DEBA96332C8D4390C18,Brieven aan zijn broeder (3 delen),TEXT,Digital Library for Dutch Literature,Netherlands,1914.0,"Gogh, Vincent van",,,,,not_found
/2021602/A4A05B39CB7D9746E3FD59E55F28FA586860A66A,Brieven aan zijn broeder. Deel 2,TEXT,Digital Library for Dutch Literature,Netherlands,1914.0,"Gogh, Vincent van",,,,,not_found
/916113/S_FV_object_FVM152624,Tavla,IMAGE,Swedish Air Force Museum,Sweden,,"van Gogh, Vincent",Q1434569,Swedish Air Force Museum,Swedish military museum,Sweden,matched
