id,title,type,institution,country,year,matched_variant
/199/item_IWKEPTFFD3JLSEGVMHBRPOJEKO45BNI3,Blick aus dem Fenster von Vincents Zimmer in der Rue Lepic,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_J63DSK43O33FBTCUGSFHAWDSXJDXYN7U,Boulevard de Clichy,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_JBBIOZ534FQLG6NZ45BO5QJQO3H53BBA,Erinnerung an den Norden,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_JESEIQLRTQGVYYVEOJMEZAFFWMHZVKPO,Vase with sunflower,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_JPVSF5ZRVWJBOQDCRSLELQMNCV6PLKTR,Portrait Armand Roulin/Portrait of a Disciple/Portrait of a Young Man/Armand Roulin,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_JRXPJTTMSHAIT2RRT36BEW4OBDKZ6XLW,The drawbridge,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_K2HWEZXVND4Y2OBC43COUGM3KTU7CM6S,Landschaft mit Bäumen und Häusern,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_K2OM5H5RTFRGQ6XBDZUXI5YG2RUNBAST,White lilies,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_K66MLCYO6MBF3AE4O2SXLARYJBBRIWL2,Grabender Bauer,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_K7RNYJ6ZDWGYOMC25N5C77LGJSZCS7C3,Pine group near a house,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_KFD7ZAHSDJB7Q74SM4C6LHWR44BE7UQJ,Schneebedeckte Hütte mit Zypressen und Bauern bei Saint-Rémy,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_KGFPSKNG4GXSG2QYV6UXZ7UUJIKTIKPS,Farmer and peasant woman working in the field,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_KOPHPZ4WY4CSYAHE7JKYLQRS5LCYYC5I,"Alte Bäuerin, die nähend am Fenster sitzt",IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_KQ7XNQI7A2RQ7CYEOTZG6OFMEJOGNKRT,Ox cart,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_KQKQUKXOYSKHKFKNACDK35N6GQPNO2EK,Armed field,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_KT6MMUWGJR4LKSPBVJIRW4PSSODTBRYT,Weg durch eine Felsenschlucht,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_KTDSLPMGOEOWMZWPSE56XM3M5JFNEEVL,Die Kartoffelesser,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_KX42T4ISSCFILC6ZR6MWIWT5TDLTHUGL,Bäuerin,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_KXI3O5UKGIYCKAELZIH3ELYLZTN64JYV,Still Life with Book Stacks,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_KXT4CZ7NEUIQZPQED7CA46N5YHM2PUB4,Moulin de la Galette auf dem Montmartre,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_L2IFEFMDY3V32D4PUFL7TKBZO6K53YTT,Straßenbauer,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_L5WADESQRXPAILM536S6EPVMRZACD3XZ,Ansicht von Saintes-Maries-de-la-Mer,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_L6EACFFTPDO2IKT75WPMHIT2PJVG7WDZ,Zimmerplatz und Wäscherei,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_L7GDMZUEOZ7XBLDEXSOOYPHO6KF7MIKO,Blühende Pfirsichbäume,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_L7VMNJ4FD7Q6SUWPUPI2AF3MVVED4NCA,Peaked grain field with farmer,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_L7Y3OO6KV3TU63BQ4J5ZQFFA5EVJFZHD,Bäuerin beim Garbenbinden,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_LUBQO3CQ4YROPCVMNZX5LSTINFDIRZZ6,Getreidegarben,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_M3T7VVPNZZEH5V2A42ROCZ3SEV5ECT27,Blick auf Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_M4UO3FWJB5CDYY22OKZN2TJI6N4IEBUW,Stilleben mit aufgeschlagener Bibel,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_M5QUHMJ52QGEUDESUITEYDBZIYCUYQKP,Portrait of a Girl (Mademoiselle Ravoux),IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_MFSIHVNZZTLJKJ5T67ZUZHL4KVMN4MLU,Two peasant women working in the field,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_MHMLLTGI6RURTSEQZ7B4CWLWBOPLK5RJ,"Drei Hände, zwei mit einer Gabel",IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_MMWAQXBLPGQWXTSNPQWNBRLI6EBRSYTH,Wheat field under cloudy sky,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_MOVFTNTZNKTFXICAG42WOZMQAQG2UINM,Die Wiegefrau (Madame Roulin),IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_MQFI3KI2KX3IZEYZTYWYELKYOPWDLVBO,Vorstadt,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_MTMZGT2RMLNSEXEZWCF6PJK5PNRSRF6D,The Bridge of Asnières,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_MTOEWPVNES7HVH2KNR7DMCTT72KTNYFK,Die Garben,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_N6I6RV6COQD3Z6L6RNNO4XISDZWV4DQ7,Stilleben mit Zitronen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_NBD4EQVL6N76OIPPKK4DNZUVYR455KE2,Zypresse unter dem nächtlichen Himmel,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_NGBJJNICXYTWON76DBSS4RVCD4TZYO76,Still Life,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_NKPQEBNU2JZDF7V6YPAYPOTCR26PR57C,Blossoming chestnut tree,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_NMYEPYFHGDZEJUNXEKMN2V3GBDIMYMOU,Ansicht von Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_NQQYC2WO2LHJ6USOXGPZW4KB52YDDUEU,Terrasse des Cafés La Guinguette,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_NRJWSMQOQXAWXEH3WNQF6WL3N4SUGEZR,Dutchwoman,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_NVH4CKFQXOXBY7DSE77W5VRHOAA6VO7P,City Hall of Auvers-sur-Oise,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_NXEBCI23QNZQPD5EIO7SSL6ZROXAC75R,The Sawer,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_O5BYGI4CVR3567C2SDRYU4YRGL2GLO4R,Vater Tanguy,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_O5U5OD3BYNG37HDLPMWCA5QM37FOEAZ3,Zwischen den Festungen von Paris,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_ODZ74OUL45REDOELYKWXTG53NYZSLTCK,Vase with sunflower,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_OGLKDQIZEHPCJT7P7ZYDSSLB23FGTCDQ,Der Irrenhausgarten von Saint-Rémy,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_OQQUJD32VGXMNKKWGUSMPJ5NFFLO62AY,Boote am Ufer,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_OXK6KBMW464SBZ24DL7F56U5E3B43HQM,Unterholz: Baumstämme mit Efeu,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_OXMTO63GUFWYKFA626QYT6JC527OAZN3,Stilleben,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_P2R7UVGMMPLFNFORFV73KMOPCI4Q45TM,Feld mit Heuhaufen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_P3SN4IZH2JV2HY3R5W46ZNPK5NTEVIL5,Gebirgslandschaft,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_P6VP3ZF2V5ZZ2WC3N4NUGK5EOBIIEGIT,Farmer at Pea Peel,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_PAJCMZDTAWEOO4UUDE7QZ2SH4AZWJ5BP,The Railway Bridge,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_PCUERGEQQRFK76XB4K4TO3CXGV3A4XUX,Pinienwald im Abendlicht,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_PDUFBN7DYD3LWQXUXONO2GZL3SBUY3T3,Teich mit Weiden bei Nuenen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_PJAEFRW5AK5KWE5A7ATTZX34IFN46BXU,Farmer digging,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_PL4MG63JDTG3RWCHRADUX2YEAWXQBVIW,Kartoffelernte,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_PN2LN3Q6HAMEJ3TAZJ2XYYQLEG7I6YLW,Self-portrait,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_PQNYHGXBZITCD5DJ2YWENDDYQ573FVHX,Porträt eines Mannes,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_PS74OAJH35INDEUKJ5ASAC7CCEEDPSDI,Der Lehnstuhl Gauguins,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_PV6MBOQGQRJSN2UBXKZW45KR7XDN5PWZ,Olivenhain,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_PXFAZ2GFKCUDGO7UDASBLMXHCC5OUVMS,Study of flying swallows,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_Q5ZLCYQENCL5GRGS3V2JPSF4QZCFRNXG,Blumengarten bei Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_Q7EVAHHNHVV5MBHMHTJF7XLLCYBEOKOQ,Vase mit Rosen und Pfingstrosen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_QAJKTJ4MSWJVN4CW3JGQ4OSOGHDFNLYZ,Die Auferweckung des Lazarus,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_QPZ7F6PFPIKEO3F23SYDG4GFUDVVFR6V,Weber,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_QUZGPNWSY5CN4TUPYPB4N6DTAZ4FLVZQ,Garten in Auvers-sur-Oise,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_QVKDYWMPGBDOSH5FNHTC4OPV6Q6ZLI64,Bildnis des Knaben Camille Roulin,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_QYKIM5OMXGUJPT3PCZSBY3E3AGDG5K56,Mohnfeld,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_R2FQKUZQAD2TRSU6NHNWH2ZM3VCO2JN7,Star Night,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_R5EGRRCREJ4ADNUI5K6O5HXQ233TQQHY,Weiße Rosen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_RDL6NIUKILKGQZ2V4W56S5AFT7RJIHDV,Field behind l 'Asilo Saint-Paul,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_RMRHSVHKLOXNWULSN2BHGN464Y26D32Y,Stilleben mit blauen Handschuhen und einer Schale mit Orangen und Zitronen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_RMVSLXTZAJECFQ4HKKI5RMHGR44BD7J4,Parish Garden in Winter,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_RPGECH5ZPM5DIYTM7Z6FJBSKOMFG4BAH,"Nacktes Mädchen, sitzend",IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_RSYJIZ5Y5OKZHIJUI4KSTUITSUQ74SO4,Alter Mann mit in die Hände gestütztem Kopf,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_RTS6PSXDZ77JO73KF4ITBK5WRPU6GSPZ,Village angle in Scheveningen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_RZVTVYYMHWLYDQ7IPMNRNTAOUPKWQC4L,Le jardin de Daubigny,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_S2FY7C5Y7JPXJPGYQNBM63ZNGJ6DC2JB,Porträt der Agostina Segatori im Café du Tambourin,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SCK5QUXX2ZHNSWPUJO5AGAEHVK5XUPTF,Die Kartoffelesser,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SCW6E6VEJKY2ONAMVATK4SQRZCRMPEYF,Porträt einer jungen Frau,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SJ7AJDMZUNR7QNNG3MW3ZTBMBYQKPBWV,Das staatliche Lotteriebüro,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SK4ZPNCL63T3L564PO3NWS37LAZXKDNQ,Die Suppe der Armen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SKJILT7V5545VSNY26W4WAO4A22A3PRB,Japonaiserie: Bridge in the Rain,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SSEZZYPRPB5ZBJ4DA4VBQFYD4MOEBXJS,Café am Marktplatz bei Nacht,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SSGDJM5XKNWSA5UUDVFMUF44MV46AXDF,Garden of the Hospital in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_ST6NB6NTOYOB4HIBTPEAWOXPPGUW5X2E,Die Hirtin,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SXCMQOBG763J7DVWYEIU7GEHD4ZCNXC7,Ein Paar Lederclogs,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SYRZU3ISOFN3HJFEYDCJELA3F5DHBHPR,Japonaiserie: Blühender Pflaumenbaum,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SZBPPXJW36RKQDKUH7M42UZU5QUS4FSH,Pappelallee bei Nuenen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_SZH6XG6C2FOD2PXCL7IVUFUDNGV73P3T,Weizenfeld mit Schnitter bei aufgehender Sonne,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_T2DJQ6JFNBOETJEOSMUFUBWWSA3YZU32,"Blühende Pfirsichbäume, Souvenir de Mauve",IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_T7QZ2S6J4GGQDGSYAAC4Q3HLDJ2KCZ62,Straßenszene auf dem Montmartre,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TBAVXHT3ZRJVP3BN2XUBA5E62O2XXSXY,Flourishing orchard,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TBW7OR4JOJWHIJEFSFKOSG6CQMC3SSKT,"La Crau, Sicht vom Mont Major",IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TC7K4B2GH7GWDW56QYIVXYUT3PUMFE7K,Forest Way,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TE64FZ443IJAHAYTKVNQFBYLKEZJ6VWQ,Selbstbildnis mit grauem Filzhut,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TI7LSZTCCRJKTX6SJW5Z26R3LAZNCKQB,Alter Mann mit Zylinder und Stock,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TJQGFWCWLPHYHZ5HPFK2GJVBWS2RSWTM,haystack,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TJR76YCO5C4MLWHWCZYJADXS4B2OSZPB,La Berceuse / Madame Roulin,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TKKE77YRYWGOKV4SLIP3SHBE4H6RJ356,Landscape with olive trees,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TOOSHTPNEBPDAEUUKQNIQLMIFGQMKZEO,Weizenfeld mit Zypressen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TOPPMLK3GIWX64YW3IDSGL5LJJYFEAWA,Bäuerin transportiert Stroh in der Schürze,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TPWPMM3F5MHIPLMM4H6CXJEMRRZ46Q57,Still Life with Iris,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_TRRC3SE5ZVBRN23GGTDXJQHFHCEU2MBH,Olivenbäume vor den Alpillen / Olivenhain,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_UJS24ASWYGN4K4M2BBE5ERYLSKH2RDAZ,Olive harvest,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_UK4EPU37RVYXZ5O4X3SLXZIHAI7M76OG,Stilleben,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_ULQNH5ZJ3VXRS5VJTOLLALF7QWEAAGGS,Vineyards,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_UMNRGSYL5VX3O2JYLTQJSBFYW6OUBSYS,Strohhütte bei Einbruch der Dunkelheit,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_UPWN5ZRKN6AMEX7X2BQKAHUP67OEMYCD,Die Ernte / Der Schnitter,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_USJZKHQ6KPTVSP2ODDRHHDV4GXN7PUAV,Bauernhaus mit zwei Figuren,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_UT3BGDUIU6J2OUXLB7RNQQLHJ3MF25LQ,Weizenfeld mit Raben,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_V5X2YM7XNWZPFP3WXPSH6UMSAZ3R3W2A,Straße mit Telegraphenmast und Kran,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_V5Z64DGAQXA22KLM7EIWOVRYEWPMSGQO,Flachlandschaft in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_VH52H6F4XSJ6QQICEMBD5GSWQWPSUBTM,"La Berceuse, Portrait of Madame Roulin",IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_VRNF2SVUJVLZVSFIHKBZXRGISBFU3SHB,Zeichnung,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_VUQTSRKUBSTR5CWEL4VF72HZ2FG43MXR,Treppen bei Auvers,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_VW4JJE5DM5H53BSKKZ6LOCQYMPBBI3BF,Garten im Hospital von Saint-Rémy,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_VXWAUCF67LZ6VNT5JS4UNBJEVSOSIJ3A,Der 14. Juli (Paris),IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_VZNYUUKXMJXQLKTPR6S3TE3V5K3CCZPI,Meadow with dandelion and tree,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_VZR4JZDJBIMN2P5KPYUHVYI3GJQE25FC,Steinstufen im Garten des Hospitals Saint-Paul,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_VZWCIPRDK4VWOGDVH3YX2FW6QE6ZX5H2,Brunnen im Garten des Hospitals bei Saint-Rémy,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_W3MBL75NNBXLQZQIBQF6FJW7DJUMHTHB,Bauernhaus in Nuenen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_W42XI7UBMAKTDVEUJ27HQVBFEDS75SKQ,Pietà,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_WFBBJK2OUF6BH4TENMF7BJHUIVR5BHH4,Blooming peach tree,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_WJIB7CAQ6DRWKF2WV5G3JONAY33BXJJO,Self-portrait with gray hat,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_WJZLOAPATJHIOYJFRX7SENCXNRHUYN57,Vincents Schlafzimmer in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_WN3T6YXYHZIYJBBGUUWQ5OWJVZLZE4OE,Garten mit blühenden Bäumen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_WS3DCOIDFKH3FBN7UDGRXLIUNZXMILDN,Trauernder alter Mann,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_WWKGVUA36DYD7DRVGE32YT4OSBSCMT3Q,View of Auvers-sur-Oise,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_WWNV5JIPNO74AXUNIBUOPIYZZWU7J243,Die Umgebung von Auvers,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_WXKO7C26JDK2Z7UZI4XWJH75HTDCR23D,Gasse in Les-Saintes-Maries-de-la-Mer,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_WY67SLI5JF7VZYR3HL6TF7532KZQIG7U,Garten,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_X2L5H7RZ233KF7W744YWQZJYCPZVGVOS,Marschlandschaft mit Fichten,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_X2QJA4H5W46FUHPF5IWQ3ZITF724CFNI,Weg in einem öffentlichen Garten,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_X3IAW77K4X23HDJSWL4VFWRQD2BNTWEP,Selbstbildnis,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_X4JMDX6AZ2RKAY73WL45VEAYRZ36SYFY,Zeichnung,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_XE6F5MKZ3RGX3SNI3T56FGTXBJM5GOEI,The Hill of Montmartre,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_XFFANLASXKJNDTEXHWFIMX4MOTXBYLCD,Die Langlois-Brücke in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
