id,title,type,institution,country,year,matched_variant
/199/item_3KSBVX2VFD3HRARN3RVZFZ53ZUMG5ANJ,Das Schlafzimmer des Künstlers in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_3POCUZMK3IIAHPH7YTMVNWMW63HFKCKF,Der Schnitter mit Sichel,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_3QBTE5HBWSZQT5EEK2GS7CGC4LYHCKYS,Le Moulin de la Galette,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_3WBNFYWC26G3TY4WKWFQDTZ6KIGFBPHL,Gebirgslandschaft,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_422U35NCFAPUFNARIRWH4WGF7D723ZRP,Portrait du Surveillant en Chef de l'Hopital St. Paul,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_42ZLSN72GFA4GPGLVL7LOJUL7FDMC2YE,Brandung & Barques voguant vers la côte,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_4DCN74MUICKVGQUZVBTDGDDHCBJMZUSI,Wiese mit Büschen und Bäumen,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_4DP6YBVXKBZ5LJ7HV6EJASRMYXI5SZYC,Ummauertes Feld mit Garben bei Mondaufgang,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_4DYJ5XBCYMBBTYNUZ3GHTVWJJEPOTQHS,Kniender Mann mit Sichel,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_4HG6HRLRSGBNLGB2P3KARJKSWYCOTTR2,Blühender Mandelzweig in einem Glas,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_4IVHN7JDP3QKQK672ECM246M4B5GOVTB,The yellow house of the artist in Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_4NH56ONXEAZAFBGJR4W2BMT5X6JJKYE6,Bildnis des Doktor Gachet,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_4QTK5WWTSG4RX2IAEUGIAMFNWEERSDL3,Les Vessenots à Auvers,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_4T7HLWWRTECWZDOZMCPMVVBL74ONATMM,Wheat field,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
/199/item_4TIE43E6262QM2DRORCJD3V6HOYMXPST,The Bridge of Anglois near Arles,IMAGE,German Documentation Center for Art History - Marburg Picture Index,Germany,,"Gogh, Vincent van"
